Statement,Latitude,Longitude,metric
H500,1.416169001,103.8632208,2
H600,1.41744,103.863347,2
H700,1.417294,103.86406,2
H800,1.416893,103.862818,2
STAAC,1.41847,103.86304,2
SB,1.418025,103.864391,2
