Year,Surface Water,Ground Water,Public Supply,Process and Cooling Water,Sanitary Water
2017,27000,629000,1444000,877000,461000
2018,33000,1050000,1524000,825000,492000
2019,82000,1835000,1692000,2065000,620000
2020,37655,1516054,1811707,1805445,664543
2021,40365,1507653,1705433,1906543,654373
2022,35678,1457865,1654353,1708962,607836
